,index,time,latitude,longitude,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
0,16371097,2000-02-01,36.65,73.7,-0.4566506,-0.51268816,242.95358,247.18628,0.0,-1.44355e-08,0.027048111,273.14993,0.64875084,0.0,0.43238854,240.38754,100.0,18.191166,-9.313226e-10,258.1412,258.50735,259.6847,4821.0,2985250.0,-3585530.0,58361.62,0.0,17477506.0,12818157.0,241.12132,1.6326085e-06,0.001040563
1,16371098,2000-03-01,36.65,73.7,-0.43586147,-0.22462654,249.68861,253.778,0.0,-1.44355e-08,0.027048111,273.14993,0.64875084,0.0,0.43378758,248.41907,100.0,18.2049,-9.313226e-10,257.6762,257.87347,258.64648,-35268.0,3790157.0,-3801962.0,58730.92,0.0,22256344.0,14927736.0,248.41467,-1.2461562e-05,0.0030980054
2,16371099,2000-04-01,36.65,73.7,-0.33963144,-0.47116876,255.08678,259.12418,0.0,-1.44355e-08,0.027048111,273.14993,0.64875084,0.0,0.44178176,255.13864,100.0,18.200323,-9.313226e-10,258.53873,258.5766,258.7757,-144081.0,4997117.0,-4874831.5,59271.742,0.0,28528348.0,15920627.0,255.54073,-5.074404e-05,0.0004975721
3,16371100,2000-05-01,36.65,73.7,-0.12916839,-0.30863094,264.2652,269.2527,0.0,-1.44355e-08,0.027048111,273.1494,0.64875084,0.0,0.4475776,264.25,100.0,17.90124,0.0034211408,260.78775,260.5921,260.0689,-302527.0,7397392.5,-5607476.0,59586.06,0.0030427556,30889152.0,18311652.0,264.8855,-0.00010673981,0.0013745632
4,16371101,2000-06-01,36.65,73.7,0.04828942,-0.19694686,267.07224,273.82242,-0.00015977235,-0.0003543077,0.25199318,273.2141,0.6490389,0.0,0.45911932,270.16714,81.21252,17.584862,0.003379276,264.6956,263.9047,262.01727,-1527148.0,9582198.0,-5695743.0,59391.562,0.0028843936,29983656.0,20471254.0,268.2036,-0.0006027017,0.0020301584
5,16371102,2000-07-01,36.65,73.7,0.12415898,0.13199067,273.1595,278.80695,-0.00028696982,-0.0007910563,5.644228,276.4112,0.6538996,0.0,0.4607681,277.36084,53.861412,17.468891,0.0013340237,270.93436,269.84082,266.51352,-3192747.0,11234544.0,-5583155.0,59373.508,0.0028769337,25043704.0,23470140.0,271.59402,-0.0012761741,0.0047756433
6,16371103,2000-08-01,36.65,73.7,0.08836734,-0.15864587,270.7409,277.8179,-0.00031459564,-0.0008706567,3.9080353,282.54935,0.69686764,0.0,0.4586196,275.53375,53.164055,17.467875,0.00039136317,271.5933,270.9548,268.81436,-3287242.0,11649838.0,-6780090.0,59490.04,0.0007694401,25119420.0,21520738.0,269.8205,-0.0013140757,0.002656171
7,16371104,2000-09-01,36.65,73.7,-0.0875901,0.006466627,262.0646,271.74493,-0.00016036327,-0.00038741215,5.306101,281.96927,0.77443695,0.0,0.4475776,267.10315,67.99017,17.492289,0.00020367745,268.90695,268.7679,268.12863,-1532875.0,8671361.0,-6211682.5,59495.785,5.0492585e-05,22797352.0,18891216.0,262.9241,-0.00060860626,0.0019633584
8,16371105,2000-10-01,36.65,73.7,-0.40414202,-0.31410265,255.49384,259.95148,0.0,-1.44355e-08,11.135408,276.24814,0.6542801,0.0,0.44398022,254.37158,100.0,17.693203,0.00015993137,264.44382,264.7299,265.41977,-31450.0,2933890.0,-3381668.5,59526.15,3.672205e-05,17517564.0,17197490.0,255.10762,-1.1127908e-05,0.0024901256
9,16371106,2000-11-01,36.65,73.7,-0.45793664,-0.29800987,249.29292,253.62779,0.0,-1.44355e-08,0.039150238,273.21997,0.65153146,0.0,0.43383753,248.04684,100.0,17.88191,-9.313226e-10,262.65494,262.96796,263.9486,-3769.0,2103704.0,-2755053.5,59114.176,0.0,12658171.0,15898900.0,248.91158,-1.414679e-06,0.002473902
