,latitude,longitude,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
60,29.35,63.0,2010-02-01,-0.34284627,1.761873,270.7471,286.59686,0.0,-0.0005730558,16.158907,283.40796,0.72537076,0.0,0.09882879,287.46426,0.0,0.0,-9.313226e-10,287.4233,287.11865,287.78436,-1433607.0,12984796.0,-8717595.0,90142.85,4.5895576e-06,17926512.0,24526192.0,272.0229,-0.00057318015,0.0006178133
61,29.35,63.0,2010-03-01,0.39163148,-0.7627709,270.8122,294.25043,0.0,-0.00013929815,7.1383915,288.29663,0.7814098,0.0,0.09882879,296.73837,0.0,0.0,-9.313226e-10,296.3689,295.04913,292.87228,-348343.0,17200728.0,-11614561.0,90128.91,5.736947e-07,23570348.0,26114314.0,273.16058,-0.00013930863,6.9096684e-05
62,29.35,63.0,2010-04-01,0.56051636,-1.3427566,272.75244,299.58273,0.0,-6.0309656e-05,4.8441124,293.40933,0.79988563,0.0,0.09882879,303.68582,0.0,0.0,-9.313226e-10,303.19434,301.40317,298.29907,-150762.0,19250312.0,-12411151.0,89814.586,5.736947e-07,26289478.0,28996478.0,273.15988,-6.026728e-05,4.61936e-05
63,29.35,63.0,2010-05-01,1.2772053,-2.1596289,274.30524,303.61517,0.0,-9.34822e-05,4.4824944,296.60376,0.79988205,0.0,0.09882879,308.10986,0.0,0.0,-9.313226e-10,307.684,306.1056,303.07077,-233803.0,20612152.0,-13077117.0,89512.58,5.736947e-07,28016832.0,30795304.0,273.15988,-9.359792e-05,6.1463565e-05
64,29.35,63.0,2010-06-01,3.1437259,-3.495656,271.89905,305.03058,0.0,-7.7439705e-05,6.8835506,295.11642,0.7998003,0.0,0.09882879,308.37735,0.0,0.0,-9.313226e-10,308.08032,306.98245,304.71194,-193714.0,21527804.0,-13864690.0,89207.29,0.0,29228708.0,30070216.0,273.15988,-7.740874e-05,5.159527e-06
65,29.35,63.0,2010-07-01,3.7830453,-3.1503038,274.57697,305.21777,0.0,-7.7235745e-05,6.6920643,296.0039,0.7995905,0.0,0.09882879,308.90524,0.0,0.0,-9.313226e-10,308.73444,308.1246,306.53336,-193237.0,20707650.0,-13523098.0,88975.86,0.0,28168260.0,30712944.0,273.16058,-7.721828e-05,1.3411045e-06
66,29.35,63.0,2010-08-01,4.273626,-3.7441294,273.02206,302.91037,0.0,-6.302865e-05,8.037454,293.67133,0.79947317,0.0,0.09882879,305.6785,0.0,0.0,-9.313226e-10,305.59756,305.36957,304.90125,-157444.0,19536002.0,-12552160.0,89242.58,0.0,26596298.0,29837278.0,273.15988,-6.312411e-05,3.874302e-07
67,29.35,63.0,2010-09-01,3.6469512,-3.7129092,269.6499,297.5249,0.0,-4.5830617e-05,8.514391,291.41782,0.79965806,0.0,0.09882879,299.77832,0.0,0.0,-9.313226e-10,299.97556,300.97,302.45645,-114491.0,17670592.0,-12472091.0,89680.81,0.0,24071738.0,26725208.0,273.15988,-4.57922e-05,1.3411045e-06
68,29.35,63.0,2010-10-01,1.7521404,-1.8657737,272.26685,296.19965,0.0,-5.0996896e-05,6.8479595,291.59158,0.79984295,0.0,0.09882879,297.52243,0.0,0.0,-9.313226e-10,297.70605,298.63406,299.8292,-127854.0,14595814.0,-11137426.0,89973.8,5.736947e-07,19972574.0,26950566.0,273.16058,-5.1124953e-05,4.237704e-05
69,29.35,63.0,2010-11-01,0.93043417,-2.426448,267.69727,286.94116,0.0,-1.9863714e-05,8.552118,287.16748,0.79991764,0.0,0.09882879,287.38928,0.0,0.0,-9.313226e-10,287.95096,290.61084,294.807,-49585.0,12227638.0,-10223055.0,90440.76,0.0,16820284.0,22903712.0,273.16058,-1.9889325e-05,1.3411045e-06
