,level_0,latitude,longitude,index,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
0,48,29.35,63.0,3170728.0,2022-02-01,0.5686605,-0.72382617,267.17142,286.6454,0.0,-4.215981e-05,17.034477,282.57233,0.66393757,0.0,0.09882879,288.3106,0.0,0.0,-9.313226e-10,288.20392,287.479,288.33862,-105423.0,14062553.0,-10262406.0,89905.68,0.0,19412636.0,23316532.0,273.15988,-4.2173546e-05,1.661107e-05
1,49,29.35,63.0,3170729.0,2022-03-01,0.20495796,0.683975,270.15305,294.40872,0.0,-9.660912e-05,8.127147,287.538,0.7795715,0.0,0.09882879,296.96765,0.0,0.0,-9.313226e-10,296.75317,294.55847,291.57565,-241917.0,17138936.0,-11686432.0,89768.625,5.736947e-07,23485388.0,26136042.0,273.15988,-9.6645206e-05,7.959455e-05
2,50,29.35,63.0,3170730.0,2022-04-01,0.24417865,-0.3205397,268.12396,300.5891,0.0,-6.635953e-05,4.165722,293.6804,0.7999639,0.0,0.09882879,304.259,0.0,0.0,-9.313226e-10,303.8605,299.78326,295.38278,-166034.0,19915984.0,-13506702.0,89531.45,0.0,27198496.0,28243094.0,273.16058,-6.6361856e-05,3.7604943e-05
3,51,29.35,63.0,3170731.0,2022-05-01,2.2673678,-2.952362,271.64078,301.5354,0.0,-6.744708e-05,6.1838074,294.38452,0.79977185,0.0,0.09882879,305.52847,0.0,0.0,-9.313226e-10,305.3422,303.2907,299.0902,-168897.0,21501322.0,-13438384.0,89228.625,0.0,29224748.0,28943928.0,273.1613,-6.750459e-05,4.2058527e-06
4,52,29.35,63.0,3170732.0,2022-06-01,2.990272,-3.457355,272.85782,304.8642,0.0,-7.546833e-05,7.542721,294.43637,0.7997043,0.0,0.09882879,308.1325,0.0,0.0,-9.313226e-10,307.84662,304.72397,300.83115,-188942.0,21274216.0,-13504516.0,88934.83,0.0,28884470.0,30310734.0,273.15988,-7.5504184e-05,4.2058527e-06
5,53,29.35,63.0,3170733.0,2022-07-01,0.98380005,0.9861984,284.19446,304.55453,0.0,-0.0005676177,4.011965,299.2005,0.799747,0.0,0.09882879,309.25058,0.0,0.0,-9.313226e-10,309.0982,306.99066,303.06735,-1419767.0,18056594.0,-10254208.0,88769.055,4.5895576e-06,24562564.0,34337880.0,273.15988,-0.0005678474,0.0005576927
6,54,29.35,63.0,3170734.0,2022-08-01,4.049446,-3.598972,274.142,302.13162,0.0,-6.0581602e-05,7.621024,294.3706,0.79948384,0.0,0.09882879,305.32184,0.0,0.0,-9.313226e-10,305.2675,304.72867,303.27704,-151717.0,18283700.0,-11559633.0,88956.164,0.0,24891836.0,30667468.0,273.16058,-6.064819e-05,2.0429492e-05
7,55,29.35,63.0,3170735.0,2022-09-01,2.6645045,-2.9449592,270.3669,299.62894,0.0,-3.060396e-05,6.2243824,293.61035,0.79982877,0.0,0.09882879,301.49078,0.0,0.0,-9.313226e-10,301.49942,302.0112,302.16064,-76311.0,12300665.0,-6639628.0,89308.234,0.0,16756455.0,14438111.0,273.15988,-3.0555297e-05,3.874302e-07
8,104,28.65,63.0,3176839.0,2022-02-01,0.238392,-1.6910056,267.7138,290.36816,0.0,-3.2235403e-05,13.290878,285.00223,0.69766057,0.0,-1.1920929e-07,293.22574,0.0,0.0,-9.313226e-10,293.1429,292.8106,294.04535,-80606.0,15455291.0,-11346207.0,94567.08,0.0,19500676.0,24607038.0,273.15988,-3.2269396e-05,1.5657395e-05
9,105,28.65,63.0,3176840.0,2022-03-01,0.3404088,-0.7840134,270.64688,298.1731,0.0,-7.166155e-05,5.436369,290.78055,0.79407907,0.0,-1.1920929e-07,301.9734,0.0,0.0,-9.313226e-10,301.756,300.16006,296.5865,-178920.0,18487936.0,-12898124.0,94307.75,0.0,23299622.0,27603904.0,273.15988,-7.1695074e-05,4.61936e-05
